ano;regiao;pop_faixas;em;acesso_esgoto;pbf;desocupados;informalidade;municipio_rural
2015;Norte;50.000-99.999;33,63;0,31;87,46;73,75;65,94;Urbano
2015;Norte;10.000-24.999;30,30;3,04;83,81;80,91;50,00;Rural
2015;Norte;25.000-49.999;25,37;6,87;81,20;84,80;71,22;Urbano
2015;Norte;A partir de 100.000;20,18;1,14;71,33;78,20;66,41;Urbano
2015;Norte;A partir de 100.000;23,60;11,94;52,40;73,21;69,85;Urbano
2015;Norte;10.000-24.999;11,03;6,50;85,43;78,54;40,59;Rural
2015;Norte;50.000-99.999;10,92;0,28;94,24;91,10;84,90;Rural
2015;Norte;25.000-49.999;7,58;0,26;90,32;96,81;73,91;Rural
2015;Norte;25.000-49.999;18,52;0,43;87,73;81,82;78,24;Rural
2015;Norte;50.000-99.999;18,16;0,78;67,71;84,44;63,89;Urbano
2015;Norte;50.000-99.999;26,84;0,94;82,08;82,68;82,98;Urbano
2015;Norte;25.000-49.999;21,97;0,35;85,66;70,05;89,06;Rural
2015;Norte;25.000-49.999;21,23;0,51;81,98;87,95;91,84;Urbano
2015;Norte;10.000-24.999;18,48;0,32;72,73;96,34;85,00;Urbano
2015;Norte;5.000-9.999;20,00;3,38;87,37;100,00;0,00;Rural
2015;Norte;50.000-99.999;25,44;2,48;70,82;75,30;83,03;Urbano
2015;Norte;10.000-24.999;17,60;2,30;79,74;82,78;77,46;Rural
2015;Norte;25.000-49.999;17,83;0,74;87,10;68,83;75,50;Rural
2015;Norte;A partir de 100.000;34,89;0,79;70,92;77,93;69,85;Urbano
2015;Norte;25.000-49.999;34,17;1,55;84,66;83,02;84,83;Rural
2015;Norte;10.000-24.999;17,24;1,93;90,99;90,00;100,00;Rural
2015;Norte;25.000-49.999;13,70;0,23;86,12;80,49;80,68;Rural
2015;Norte;10.000-24.999;25,00;1,85;74,60;86,36;84,62;Rural
2015;Norte;10.000-24.999;30,69;12,19;85,18;85,63;80,29;Rural
2015;Norte;10.000-24.999;12,94;1,30;84,54;83,81;86,79;Rural
2015;Norte;50.000-99.999;20,66;0,68;85,83;77,83;70,16;Urbano
2015;Norte;25.000-49.999;4,10;0,41;89,01;94,58;69,84;Rural
2015;Norte;10.000-24.999;4,76;1,47;88,26;81,03;100,00;Rural
2015;Norte;10.000-24.999;2,78;8,45;87,80;98,60;0,00;Urbano
2015;Norte;50.000-99.999;13,21;1,37;81,10;69,00;78,55;Urbano
2015;Norte;50.000-99.999;12,97;0,59;79,85;90,80;59,04;Rural
2015;Norte;25.000-49.999;21,52;3,69;60,27;69,33;69,20;Urbano
2015;Norte;50.000-99.999;18,06;5,54;71,95;83,69;79,52;Urbano
2015;Norte;25.000-49.999;25,65;0,28;78,51;80,57;60,61;Urbano
2015;Norte;25.000-49.999;22,68;0,38;84,03;78,72;66,01;Rural
2015;Norte;50.000-99.999;28,03;0,82;83,02;93,62;91,23;Urbano
2015;Norte;50.000-99.999;9,79;0,82;89,35;84,00;70,10;Rural
2015;Norte;50.000-99.999;20,78;3,99;74,63;72,79;77,29;Urbano
2015;Norte;5.000-9.999;1,69;0,54;83,77;89,87;80,00;Urbano
2015;Norte;5.000-9.999;38,10;1,17;73,06;98,77;50,00;Rural
2015;Norte;25.000-49.999;23,56;1,87;84,49;95,25;61,96;Urbano
2015;Norte;A partir de 100.000;25,64;5,24;73,39;80,75;76,09;Urbano
2015;Norte;10.000-24.999;36,67;0,51;72,68;77,87;100,00;Rural
2015;Norte;25.000-49.999;17,12;0,28;82,98;71,17;55,17;Urbano
2015;Norte;10.000-24.999;32,56;2,16;88,96;82,90;94,29;Urbano
2015;Norte;A partir de 100.000;37,67;2,10;82,68;88,66;88,66;Urbano
2015;Norte;10.000-24.999;23,21;1,44;86,36;95,96;37,50;Rural
2015;Norte;Até 4.999;12,00;7,07;58,30;70,43;58,06;Urbano
2015;Norte;5.000-9.999;38,30;4,42;78,74;96,69;83,33;Urbano
2015;Norte;5.000-9.999;38,89;7,50;53,89;82,52;80,00;Urbano
2015;Norte;A partir de 100.000;29,95;6,92;54,40;65,67;64,16;Urbano
2015;Norte;25.000-49.999;40,73;1,78;75,54;77,77;85,38;Urbano
2015;Norte;10.000-24.999;43,37;2,38;70,64;74,44;71,25;Urbano
2015;Norte;10.000-24.999;48,21;11,88;79,23;93,31;61,90;Urbano
2015;Norte;Até 4.999;48,15;3,97;53,43;69,67;48,48;Urbano
2015;Norte;Até 4.999;34,48;2,73;76,82;91,49;100,00;Urbano
2015;Norte;10.000-24.999;35,59;1,23;75,87;81,12;35,14;Urbano
2015;Norte;5.000-9.999;18,31;1,23;79,65;78,90;80,00;Rural
2015;Norte;Até 4.999;21,05;20,80;85,20;77,55;81,82;Rural
2015;Norte;25.000-49.999;34,37;25,52;57,14;66,86;71,13;Urbano
2015;Norte;Até 4.999;15,56;6,48;76,54;94,44;57,14;Urbano
2015;Norte;10.000-24.999;28,68;2,34;64,92;91,59;66,67;Urbano
2015;Norte;5.000-9.999;27,03;2,97;72,31;74,18;60,00;Urbano
2015;Norte;5.000-9.999;34,04;2,25;69,38;79,58;82,14;Urbano
2015;Norte;10.000-24.999;37,21;0,68;69,59;81,69;71,64;Urbano
2015;Norte;10.000-24.999;16,82;30,72;66,29;79,41;75,00;Urbano
